id,window_text,label
w000,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 682e636f 6d2c686d 61632d73 6861322d
2026-04-06T11:59:23+00:00 RO-MARTINA-2 3235362c 686d6163 2d736861 322d3531
2026-04-06T11:59:23+00:00 RO-MARTINA-2 32000000 156e6f6e 652c7a6c 6962406f
2026-04-06T11:59:23+00:00 RO-MARTINA-2 70656e73 73682e63 6f6d0000 00156e6f
2026-04-06T11:59:23+00:00 RO-MARTINA-2 6e652c7a 6c696240 6f70656e 7373682e
2026-04-06T11:59:23+00:00 RO-MARTINA-2 636f6d00 00000000 00000000 00000000
2026-04-06T11:59:23+00:00 RO-MARTINA-2 00000000 00000000
2026-04-06T11:59:23+00:00 RO-MARTINA-2 -------------------- 
2026-04-06T11:59:23+00:00 RO-MARTINA-2 packet process: kex init
2026-04-06T11:59:23+00:00 RO-MARTINA-2 host key algo: ssh-ed25519,ecdsa-sha2-nistp521,ecdsa-sha2-nistp384,ecdsa-sha2-nistp256,sk-ssh-ed25519@openssh.com,sk-ecdsa-sha2-nistp256@openssh.com,rsa-sha2-512,rsa-sha2-256",NORMAL
w001,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 kex algo: curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,ext-info-c,kex-strict-c-v00@openssh.com
2026-04-06T11:59:23+00:00 RO-MARTINA-2 enc algo CS: chacha20-poly1305@openssh.com,aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr
2026-04-06T11:59:23+00:00 RO-MARTINA-2 mac algo CS: hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-512
2026-04-06T11:59:23+00:00 RO-MARTINA-2 comp algo CS: none,zlib@openssh.com
2026-04-06T11:59:23+00:00 RO-MARTINA-2 packet follows: 0
2026-04-06T11:59:23+00:00 RO-MARTINA-2 ext info enabled
2026-04-06T11:59:23+00:00 RO-MARTINA-2 agreed on: curve25519-sha256,rsa-sha2-256,aes256-gcm@openssh.com,none,none,
2026-04-06T11:59:23+00:00 RO-MARTINA-2 ----- recieved ----- #1
2026-04-06T11:59:23+00:00 RO-MARTINA-2 => size:48 [0x30]
2026-04-06T11:59:23+00:00 RO-MARTINA-2 0000002c 061e0000 0020a960 11ca6d6f",NORMAL
w002,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 7c5ad991 ef091922 b78de7c9 3737d516
2026-04-06T11:59:23+00:00 RO-MARTINA-2 1166176b bd2062e9 07290000 00000000
2026-04-06T11:59:23+00:00 RO-MARTINA-2 -------------------- 
2026-04-06T11:59:23+00:00 RO-MARTINA-2 packet process: kex dh gex req old
2026-04-06T11:59:23+00:00 RO-MARTINA-2 algorithm: rsa-sha2-256
2026-04-06T11:59:23+00:00 RO-MARTINA-2 packet create: hexdh gex group
2026-04-06T11:59:23+00:00 RO-MARTINA-2 ----- sending ----- #1
2026-04-06T11:59:23+00:00 RO-MARTINA-2 => size:608 [0x260]
2026-04-06T11:59:23+00:00 RO-MARTINA-2 0000025c 051f0000 01150000 00077373
2026-04-06T11:59:23+00:00 RO-MARTINA-2 682d7273 61000000 01030000 010100c6",NORMAL
w003,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 d6e131c7 9d6ac0a9 552cb955 af158119
2026-04-06T11:59:23+00:00 RO-MARTINA-2 b22d9661 222ecc88 e269ad7d c21db953
2026-04-06T11:59:23+00:00 RO-MARTINA-2 6d917795 7e8ffafc 00cea9c8 9208bbc0
2026-04-06T11:59:23+00:00 RO-MARTINA-2 9ff2a7c6 fae3782b ead37c47 94d4e6f1
2026-04-06T11:59:23+00:00 RO-MARTINA-2 8bb7ee15 8610799e ea7cdeeb 0b594f93
2026-04-06T11:59:23+00:00 RO-MARTINA-2 90e6144e 15bd905c 7fba99e2 927ada9e
2026-04-06T11:59:23+00:00 RO-MARTINA-2 282d036c 4e63472f fd75bae8 da7f5003
2026-04-06T11:59:23+00:00 RO-MARTINA-2 9f2caa69 ac84e93f 58021d94 7845284f
2026-04-06T11:59:23+00:00 RO-MARTINA-2 87089c92 eb42fb73 398fab07 5134e1ff
2026-04-06T11:59:23+00:00 RO-MARTINA-2 f5c7789f d55ab904 1a1a1dd3 0ae8e6cf",NORMAL
w004,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 e523675e 59297de2 6740246a a67cc221
2026-04-06T11:59:23+00:00 RO-MARTINA-2 2e356c8b ec455548 0509f65f 03fb235a
2026-04-06T11:59:23+00:00 RO-MARTINA-2 05b4282f 170fb6e2 4c7d7992 6e40ee83
2026-04-06T11:59:23+00:00 RO-MARTINA-2 7cab82af 87935977 7ad3cd83 03571dec
2026-04-06T11:59:23+00:00 RO-MARTINA-2  
2026-04-06T11:59:23+00:00 RO-MARTINA-2 f775f289 d90a33bc 2d1bbbce 49ba4fca
2026-04-06T11:59:23+00:00 RO-MARTINA-2 106d357b 0f24286e 13a62c6c f001bd00
2026-04-06T11:59:23+00:00 RO-MARTINA-2 00002024 cd2b1b85 f3aa9f58 779887d8
2026-04-06T11:59:23+00:00 RO-MARTINA-2 31bf7035 f60974f4 3f5819a5 cb481a38
2026-04-06T11:59:23+00:00 RO-MARTINA-2 b4c61500 00011400 00000c72 73612d73",NORMAL
w005,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 6861322d 32353600 00010022 93d97f05
2026-04-06T11:59:23+00:00 RO-MARTINA-2 f6636c41 e7e0d38f 774725d8 082b4901
2026-04-06T11:59:23+00:00 RO-MARTINA-2 b4de5a7c ad3dcbc7 41ce996b 251f00a7
2026-04-06T11:59:23+00:00 RO-MARTINA-2 3cdb0e00 fafbcd7b bd5fd0a2 85d61cc7
2026-04-06T11:59:23+00:00 RO-MARTINA-2 0341a784 8a68aa32 cd8c270e 510b2f91
2026-04-06T11:59:23+00:00 RO-MARTINA-2 b68e60a3 7720a180 20a01049 77ff673f
2026-04-06T11:59:23+00:00 RO-MARTINA-2 e52ac17b 04bdb809 31800453 fc855a9a
2026-04-06T11:59:23+00:00 RO-MARTINA-2 c6b37c0d e600cb0d 84f6940e d0bd877a
2026-04-06T11:59:23+00:00 RO-MARTINA-2 5673c01a 4f04bc53 1058f7b8 ee0ca71f
2026-04-06T11:59:23+00:00 RO-MARTINA-2 123d7bfc 66389288 5c372d9c 7c9e4f52",NORMAL
w006,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 be82a7f4 dabafc85 2b3d47ce c0eac932
2026-04-06T11:59:23+00:00 RO-MARTINA-2  
2026-04-06T11:59:23+00:00 RO-MARTINA-2 70dcf388 9e42c379 f62de10f 88cd9e93
2026-04-06T11:59:23+00:00 RO-MARTINA-2 0eb58f0d 6035ed4f 48e8f1d7 f3c9b155
2026-04-06T11:59:23+00:00 RO-MARTINA-2 f513dce4 9635f3ed edc89336 117b97c4
2026-04-06T11:59:23+00:00 RO-MARTINA-2 d4ac05eb d453d0c9 052ae12d 0c4cf313
2026-04-06T11:59:23+00:00 RO-MARTINA-2 eacdbacf e3756b5f 8766bc25 24e65a91
2026-04-06T11:59:23+00:00 RO-MARTINA-2 0bb7bfbe f7f755fb ceeb902c b3414b52
2026-04-06T11:59:23+00:00 RO-MARTINA-2 -------------------- 
2026-04-06T11:59:23+00:00 RO-MARTINA-2 packet create: kex new keys",NORMAL
w007,"2026-04-06T11:59:23+00:00 RO-MARTINA-2 ----- sending ----- #2
2026-04-06T11:59:23+00:00 RO-MARTINA-2 => size:16 [0x10]
2026-04-06T11:59:23+00:00 RO-MARTINA-2 0000000c 0a153135 ff89d5b4 cf47ffba
2026-04-06T11:59:23+00:00 RO-MARTINA-2 -------------------- 
2026-04-06T11:59:24+00:00 RO-MARTINA-2 ----- recieved ----- #2
2026-04-06T11:59:24+00:00 RO-MARTINA-2 => size:16 [0x10]
2026-04-06T11:59:24+00:00 RO-MARTINA-2 0000000c 0a150000 00000000 00000000
2026-04-06T11:59:24+00:00 RO-MARTINA-2 -------------------- 
2026-04-06T11:59:24+00:00 RO-MARTINA-2 packet process: kex new keys
2026-04-06T11:59:24+00:00 RO-MARTINA-2 transport state: 3 --> 4",NORMAL
w008,"2026-04-06T11:59:24+00:00 RO-MARTINA-2 in enc key: 49f60d0b 3d99772f 53e440e1 5518a27d 767d16fd 06f3e0cc b2716176 6e691aac
2026-04-06T11:59:24+00:00 RO-MARTINA-2 in enc iv: a7f65aa8 96fde095 500139b9
2026-04-06T11:59:24+00:00 RO-MARTINA-2 out enc key: c08195b5 4107e722 6974baa2 0121fedd 46baaceb 3aad2b62 cd0743f7 f28850cb
2026-04-06T11:59:24+00:00 RO-MARTINA-2 out enc iv: 7ece9bd0 073b135f 15670628
2026-04-06T11:59:24+00:00 RO-MARTINA-2 packet create: ext info
2026-04-06T11:59:24+00:00 RO-MARTINA-2 ----- sending ----- #3
2026-04-06T11:59:24+00:00 RO-MARTINA-2 => size:68 [0x44]
2026-04-06T11:59:24+00:00 RO-MARTINA-2 00000040 0f070000 00010000 000f7365
2026-04-06T11:59:24+00:00 RO-MARTINA-2 72766572 2d736967 2d616c67 73000000
2026-04-06T11:59:24+00:00 RO-MARTINA-2 14727361 2d736861 322d3235 362c7373",NORMAL
w009,"2026-04-06T11:59:24+00:00 RO-MARTINA-2 682d7273 61bc65bd ed53060d 4a7ca1f9
2026-04-06T11:59:24+00:00 RO-MARTINA-2 2a561ce3 
2026-04-06T11:59:24+00:00 RO-MARTINA-2 -------------------- 
2026-04-06T11:59:24+00:00 RO-MARTINA-2 stats roas 0 roa 0 nodes4 0 nodes6 0
2026-04-06T11:59:24+00:00 RO-MARTINA-2 route/calc/publish 
2026-04-06T11:59:24+00:00 RO-MARTINA-2 wipe stats roas 0 roa 0 nodes4 0 nodes6 0
2026-04-06T11:59:24+00:00 RO-MARTINA-2 ----- recieved ----- #3
2026-04-06T11:59:24+00:00 RO-MARTINA-2 => size:36 [0x24]
2026-04-06T11:59:24+00:00 RO-MARTINA-2 00000020 0e050000 000c7373 682d7573
2026-04-06T11:59:24+00:00 RO-MARTINA-2 65726175 7468b421 bb204083 8726296c",NORMAL
